inst/#,actual,predicted,probability
341,0.0,0.000,0.7284587378640777
342,1.0,0.000,0.7272727272727273
343,0.0,0.000,0.9244164953440561
344,1.0,0.000,0.5948018747337026
345,1.0,0.000,0.5948018747337026
346,1.0,0.000,0.7284587378640777
347,0.0,0.000,0.5948018747337026
348,0.0,0.000,0.6363636363636364
349,0.0,0.000,0.7284587378640777
350,1.0,0.000,0.8888888888888888
351,0.0,0.000,0.9244164953440561
352,1.0,0.000,0.6666666666666666
353,0.0,0.000,0.5948018747337026
354,0.0,0.000,0.9923550647695901
355,0.0,0.000,1.0
356,0.0,1.000,0.8333333333333334
357,0.0,0.000,0.5948018747337026
358,0.0,0.000,0.9244164953440561
359,0.0,0.000,0.9244164953440561
360,0.0,0.000,0.9923550647695901
361,0.0,0.000,0.9923550647695901
362,0.0,0.000,0.7284587378640777
363,0.0,0.000,0.9244164953440561
364,0.0,0.000,0.7284587378640777
365,0.0,0.000,1.0
366,0.0,0.000,0.9244164953440561
367,0.0,0.000,1.0
368,1.0,0.000,0.7284587378640777
369,0.0,0.000,0.9244164953440561
370,1.0,0.000,0.5948018747337026
371,0.0,0.000,0.7284587378640777
372,0.0,0.000,0.5948018747337026
373,0.0,0.000,0.7284587378640777
374,0.0,1.000,0.5714285714285714
375,0.0,0.000,0.9923550647695901
376,0.0,1.000,0.7142857142857143
377,1.0,0.000,0.9090909090909091
378,0.0,0.000,0.5948018747337026
379,0.0,0.000,0.7284587378640777
380,0.0,0.000,0.7284587378640777
381,1.0,0.000,0.5948018747337026
382,0.0,0.000,0.7284587378640777
383,0.0,0.000,0.9244164953440561
384,0.0,0.000,0.9923550647695901
385,1.0,0.000,1.0
386,0.0,0.000,0.9244164953440561
387,0.0,0.000,0.9923550647695901
388,0.0,0.000,0.9923550647695901
389,0.0,0.000,0.9244164953440561
390,0.0,0.000,0.9244164953440561
391,0.0,0.000,0.9923550647695901
392,0.0,0.000,0.9244164953440561
393,0.0,0.000,0.9244164953440561
394,0.0,0.000,0.7284587378640777
395,0.0,0.000,0.9244164953440561
396,0.0,0.000,0.9244164953440561
397,0.0,0.000,0.9244164953440561
398,0.0,0.000,0.875
399,0.0,0.000,0.9923550647695901
400,0.0,0.000,0.7284587378640777
401,0.0,0.000,0.9244164953440561
402,0.0,0.000,0.875
403,0.0,0.000,0.9244164953440561
404,0.0,0.000,0.9923550647695901
405,0.0,0.000,0.9923550647695901
406,0.0,0.000,1.0
407,0.0,0.000,0.5
408,0.0,0.000,0.8901808785529716
409,0.0,0.000,0.9923550647695901
410,0.0,0.000,0.9923550647695901
411,0.0,0.000,0.9244164953440561
412,1.0,0.000,0.5948018747337026
413,0.0,0.000,0.9244164953440561
414,0.0,0.000,0.8901808785529716
415,0.0,0.000,0.9923550647695901
416,0.0,0.000,0.7284587378640777
417,1.0,0.000,0.5948018747337026
418,0.0,0.000,0.9244164953440561
419,0.0,0.000,0.9244164953440561
420,0.0,0.000,0.9923550647695901
421,0.0,0.000,0.9923550647695901
422,0.0,0.000,0.7284587378640777
423,0.0,0.000,0.7284587378640777
424,1.0,0.000,0.9244164953440561
425,1.0,0.000,0.7284587378640777
426,0.0,0.000,0.9244164953440561
427,0.0,0.000,0.9923550647695901
428,1.0,0.000,0.7284587378640777
429,0.0,0.000,0.9244164953440561
430,0.0,0.000,0.9244164953440561
431,0.0,0.000,0.9244164953440561
432,0.0,0.000,0.9244164953440561
433,0.0,0.000,0.9244164953440561
434,0.0,0.000,0.5948018747337026
435,0.0,0.000,0.9244164953440561
436,0.0,1.000,1.0
437,0.0,1.000,1.0
438,0.0,0.000,0.5948018747337026
439,0.0,0.000,0.9244164953440561
440,0.0,0.000,0.9923550647695901
441,0.0,0.000,0.9244164953440561
442,0.0,0.000,0.9244164953440561
443,0.0,0.000,0.5948018747337026
